config_name,arch_name,budget,dropout,d_model,n_layers,n_heads,d_ff,n_params,micro_batch,accumulation_steps,train_samples,val_samples,best_val_auc,final_val_auc,best_epoch,total_epochs,pred_min,pred_max,pred_std,training_time_min
20M_narrow,20M_narrow,20M,0.5,256,32,4,1024,25382657,16,16,7257,422,0.7253482235994355,0.7200711787445542,44,50,0.11971573531627655,0.3750622272491455,0.06221923232078552,14.946583147843679
20M_balanced,20M_balanced,20M,0.5,384,12,4,1536,21459073,16,16,7257,422,0.7282321899736148,0.7209915935448242,44,50,0.11323592811822891,0.34836113452911377,0.057520847767591476,6.1503138502438865
20M_wide,20M_wide,20M,0.5,512,6,8,2048,19134977,16,16,7257,422,0.734245566668712,0.7254709455728048,46,50,0.11824680119752884,0.4198451340198517,0.06600752472877502,3.4400954167048137
200M_narrow,200M_narrow,200M,0.5,512,48,8,2048,151535105,16,16,7257,422,0.721421120451617,0.7038105172731178,24,34,0.11084489524364471,0.3761422336101532,0.06086010858416557,15.356865763664246
200M_balanced,200M_balanced,200M,0.5,768,24,8,3072,170439937,16,16,7257,422,0.7224642572252562,0.706142234767135,31,41,0.09958634525537491,0.4620150625705719,0.0850541815161705,12.157836417357126
200M_wide,200M_wide,200M,0.5,1024,12,16,4096,151596033,16,16,7257,422,0.7203779836779776,0.707614898447567,27,37,0.10347400605678558,0.4690277874469757,0.07916009426116943,7.823469936847687
