trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7218968664435655,,,,,True,min_d_model,51.067795753479004,128,10,8,4,5e-05,0.3,0.0001
1,0.6724977182841496,,,,,True,max_d_model,91.93095898628235,384,10,8,4,5e-05,0.3,0.0001
2,0.6907514450867052,,,,,True,min_n_layers,45.849305868148804,256,6,8,4,5e-05,0.3,0.0001
3,0.6710526315789472,,,,,True,max_n_layers,105.94663715362549,256,12,8,4,5e-05,0.3,0.0001
4,0.6938697900821418,,,,,True,min_n_heads,72.20765900611877,256,10,8,4,5e-05,0.3,0.0001
5,0.6891162153939763,,,,,True,max_n_heads,90.54521608352661,256,10,16,4,5e-05,0.3,0.0001
6,0.7171813203529055,,,,,False,,55.207783937454224,192,10,8,2,0.0005,0.7,0.001
7,0.7022741101308183,,,,,False,,139.43229579925537,128,12,8,2,1e-05,0.3,0.0001
8,0.7294265287496198,,,,,False,,29.3338680267334,128,6,16,4,0.0001,0.5,0.0001
9,0.7085488287191969,,,,,False,,76.6333270072937,192,6,16,2,1e-05,0.5,0.0
10,0.6881655004563432,,,,,False,,81.23489999771118,384,10,16,4,0.0001,0.3,0.0
11,0.6659948281107393,,,,,False,,46.104126930236816,256,6,8,4,5e-05,0.1,0.0
12,0.7126178886522665,,,,,False,,170.64437890052795,384,10,8,4,0.0001,0.7,0.001
13,0.6716991177365379,,,,,False,,99.46388506889343,320,10,16,2,0.0005,0.1,1e-05
14,0.7039093398235473,,,,,False,,154.38132095336914,320,10,16,2,5e-05,0.5,0.0
15,0.6986994219653179,,,,,False,,32.44891691207886,192,6,16,2,0.0005,0.7,1e-05
16,0.7090051718892607,,,,,False,,118.5202329158783,256,8,16,2,5e-05,0.7,0.0001
17,0.6853513842409491,,,,,False,,32.15747284889221,192,6,8,4,5e-05,0.1,0.0
18,0.7108685731670217,,,,,False,,173.31724619865417,384,6,16,2,1e-05,0.7,0.001
19,0.706343170063888,,,,,False,,88.58647990226746,128,8,8,2,0.0001,0.7,0.0
20,0.7060769698813508,,,,,False,,91.53541803359985,128,12,16,4,0.0001,0.5,0.0001
21,0.7054685123212655,,,,,False,,53.98274087905884,128,10,8,4,0.0005,0.5,0.001
22,0.7092333434742926,,,,,False,,64.5498321056366,192,12,8,4,0.0005,0.5,0.001
23,0.6883556434438698,,,,,False,,39.69233679771423,192,8,8,4,0.0005,0.3,0.0001
24,0.7215926376635231,,,,,False,,66.76144576072693,128,6,16,4,0.0001,0.7,0.001
25,0.7294265287496198,,,,,False,,29.436620950698853,128,6,16,4,0.0001,0.5,0.0001
26,0.7294265287496198,,,,,False,,29.48227596282959,128,6,16,4,0.0001,0.5,0.0001
27,0.7294265287496198,,,,,False,,29.5955810546875,128,6,16,4,0.0001,0.5,0.0001
28,0.7294265287496198,,,,,False,,29.850986003875732,128,6,16,4,0.0001,0.5,0.0001
29,0.7294265287496198,,,,,False,,29.9578857421875,128,6,16,4,0.0001,0.5,0.0001
30,0.7294265287496198,,,,,False,,29.440953016281128,128,6,16,4,0.0001,0.5,0.0001
31,0.7294265287496198,,,,,False,,30.461236000061035,128,6,16,4,0.0001,0.5,0.0001
32,0.7294265287496198,,,,,False,,30.896507740020752,128,6,16,4,0.0001,0.5,0.0001
33,0.7294265287496198,,,,,False,,33.45610475540161,128,6,16,4,0.0001,0.5,0.0001
34,0.7294265287496198,,,,,False,,33.21533966064453,128,6,16,4,0.0001,0.5,0.0001
35,0.7294265287496198,,,,,False,,33.167190074920654,128,6,16,4,0.0001,0.5,0.0001
36,0.6961515059324612,,,,,False,,72.80526733398438,320,6,16,4,0.0001,0.5,0.0001
37,0.6850471554609067,,,,,False,,69.43602728843689,256,6,16,4,0.0001,0.5,1e-05
38,0.7124657742622452,,,,,False,,121.60184502601624,128,12,16,4,1e-05,0.3,0.0001
39,0.7294265287496198,,,,,False,,30.50341773033142,128,6,16,4,0.0001,0.5,0.0001
40,0.7022360815333131,,,,,False,,105.32867503166199,128,8,16,4,1e-05,0.5,0.0001
41,0.7294265287496198,,,,,False,,32.15222883224487,128,6,16,4,0.0001,0.5,0.0001
42,0.7294265287496198,,,,,False,,31.817332983016968,128,6,16,4,0.0001,0.5,0.0001
43,0.7294265287496198,,,,,False,,30.259544134140015,128,6,16,4,0.0001,0.5,0.0001
44,0.6566397931244295,,,,,False,,54.405174016952515,384,6,16,4,0.0001,0.1,0.0001
45,0.7146714329175541,,,,,False,,30.96764898300171,128,6,16,4,0.0001,0.3,0.0001
46,0.6798752662001825,,,,,False,,47.22195386886597,320,6,16,4,0.0001,0.5,1e-05
47,0.6969120778825677,,,,,False,,124.97906303405762,256,12,16,4,0.0001,0.5,0.0001
48,0.6986233647703073,,,,,False,,46.276719093322754,128,10,16,4,5e-05,0.1,0.0001
49,0.7232658959537572,,,,,False,,156.8416109085083,384,6,16,2,1e-05,0.5,1e-05
