trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7117432309096441,,,,,True,min_d_model,28.11215090751648,32,4,8,4,5e-05,0.3,0.0001
1,0.7156221478551872,,,,,True,max_d_model,17.2286479473114,96,4,8,4,5e-05,0.3,0.0001
2,0.727334955886827,,,,,True,min_n_layers,20.34135603904724,64,2,8,4,5e-05,0.3,0.0001
3,0.7122756312747186,,,,,True,max_n_layers,36.559327840805054,64,6,8,4,5e-05,0.3,0.0001
4,0.7077502281715851,,,,,True,min_n_heads,26.935341119766235,64,4,2,4,5e-05,0.3,0.0001
5,0.7098798296318832,,,,,True,max_n_heads,25.4534809589386,64,4,8,4,5e-05,0.3,0.0001
6,0.7168390629753574,,,,,False,,15.859463930130005,48,4,4,2,0.0001,0.3,0.0001
7,0.7172193489504107,,,,,False,,30.029688119888306,80,4,4,4,5e-05,0.5,0.0
8,0.7175996349254639,,,,,False,,36.97770595550537,48,5,4,2,1e-05,0.1,0.001
9,0.6831837541831457,,,,,False,,30.74260711669922,32,4,4,2,1e-05,0.3,0.0
10,0.7009050806206267,,,,,False,,8.95558214187622,96,4,2,2,0.0005,0.1,0.001
11,0.7174094919379372,,,,,False,,22.211179971694946,96,2,4,4,1e-05,0.1,1e-05
12,0.7153179190751445,,,,,False,,31.321020126342773,80,5,8,4,5e-05,0.3,1e-05
13,0.7122376026772133,,,,,False,,29.06630802154541,80,5,2,4,0.0005,0.7,0.0001
14,0.7101460298144203,,,,,False,,13.389402151107788,80,2,2,4,5e-05,0.1,0.0001
15,0.7301871006997261,,,,,False,,10.529852151870728,96,2,8,2,0.0005,0.5,1e-05
16,0.7169911773653788,,,,,False,,21.479161262512207,80,3,2,4,0.0001,0.7,0.001
17,0.7175616063279586,,,,,False,,17.962310075759888,48,5,4,2,5e-05,0.1,1e-05
18,0.6909035594767265,,,,,False,,28.870476961135864,32,4,8,2,5e-05,0.7,0.0001
19,0.5915348341953148,,,,,False,,6.326062917709351,32,4,2,2,1e-05,0.7,0.0001
20,0.6929190751445088,,,,,False,,20.130357027053833,64,6,8,2,0.0005,0.5,1e-05
21,0.6839823547307575,,,,,False,,19.617234230041504,96,2,8,2,1e-05,0.5,0.001
22,0.7247490112564647,,,,,False,,10.978212118148804,48,3,8,2,0.0005,0.5,0.001
23,0.7058868268938241,,,,,False,,9.212197303771973,64,3,8,2,0.0005,0.5,1e-05
24,0.7247490112564647,,,,,False,,10.962364912033081,48,3,8,2,0.0005,0.5,0.001
25,0.7082826285366596,,,,,False,,21.503478050231934,96,6,8,2,0.0005,0.5,0.0
26,0.7078643139641011,,,,,False,,7.688756942749023,96,3,8,2,0.0005,0.5,1e-05
27,0.7257757833891086,,,,,False,,10.340842008590698,48,2,8,2,0.0005,0.5,0.001
28,0.7148235473075752,,,,,False,,11.112239837646484,64,2,8,2,0.0001,0.5,1e-05
29,0.7257757833891086,,,,,False,,10.242186069488525,48,2,8,2,0.0005,0.5,0.001
30,0.6833738971706724,,,,,False,,5.732306957244873,96,2,8,4,0.0005,0.3,0.0
31,0.7257757833891086,,,,,False,,10.144553184509277,48,2,8,2,0.0005,0.5,0.001
32,0.7257757833891086,,,,,False,,10.188793182373047,48,2,8,2,0.0005,0.5,0.001
33,0.7257757833891086,,,,,False,,10.065552949905396,48,2,8,2,0.0005,0.5,0.001
34,0.7257757833891086,,,,,False,,10.015196323394775,48,2,8,2,0.0005,0.5,0.001
35,0.7264983267417098,,,,,False,,18.36403512954712,48,2,8,2,0.0001,0.5,0.001
36,0.7108305445695163,,,,,False,,19.889002799987793,48,6,8,2,0.0001,0.3,1e-05
37,0.7249771828414968,,,,,False,,16.231426000595093,96,2,8,2,0.0001,0.5,0.001
38,0.7268786127167629,,,,,False,,21.636526823043823,48,2,4,2,0.0001,0.5,0.0
39,0.7120474596896866,,,,,False,,18.130700826644897,32,2,4,2,0.0001,0.5,0.0
40,0.7241785822938851,,,,,False,,12.88557505607605,64,2,4,4,0.0001,0.3,0.0
41,0.7268786127167629,,,,,False,,21.429038286209106,48,2,4,2,0.0001,0.5,0.0
42,0.7268786127167629,,,,,False,,21.405039072036743,48,2,4,2,0.0001,0.5,0.0
43,0.7268786127167629,,,,,False,,21.4010169506073,48,2,4,2,0.0001,0.5,0.0
44,0.7235701247337999,,,,,False,,9.44747018814087,48,2,4,2,0.0001,0.1,0.0
45,0.7299969577121995,,,,,False,,27.168372869491577,96,5,4,2,0.0001,0.5,0.0
46,0.7152798904776392,,,,,False,,36.34713912010193,96,5,4,4,0.0001,0.7,0.0
47,0.7109066017645269,,,,,False,,14.477362871170044,96,5,4,2,0.0001,0.1,0.0
48,0.7299969577121995,,,,,False,,32.0308358669281,96,5,4,2,0.0001,0.5,0.0
49,0.699536051110435,,,,,False,,38.406965017318726,96,5,4,4,1e-05,0.3,0.0
