config_name,n_heads,d_model,n_layers,dropout,n_params,train_samples,val_samples,test_samples,best_val_auc,best_epoch,total_epochs,training_time_min,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc,pred_min,pred_max,pred_mean,pred_std,target_positive_rate
20M_h8,8,512,6,0.5,19134977,7257,422,181,0.7169151201703681,42,50,3.643205682436625,0.8674033149171271,0.0,0.0,0.0,0.8274946921443738,0.18104571104049683,0.4282412528991699,0.26640141010284424,0.05168059095740318,0.1325966864824295
20M_h4,4,512,6,0.5,19134977,7257,422,181,0.7072178278065105,8,18,1.3015662670135497,0.8674033149171271,0.0,0.0,0.0,0.8686305732484076,0.19316935539245605,0.3432655930519104,0.24917978048324585,0.03263739123940468,0.1325966864824295
20M_h2,2,512,6,0.5,19134977,7257,422,181,0.710222087009431,18,28,2.022679082552592,0.8674033149171271,0.0,0.0,0.0,0.8805732484076433,0.18877337872982025,0.32363882660865784,0.2422468513250351,0.02789636142551899,0.1325966864824295
