config_name,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,dropout,learning_rate,weight_decay
C2,0.7190447216306664,0.45454545454545453,0.06578947368421052,0.0016746933106333017,0.8288407921791077,50,17.973071098327637,64,4,8,2,0.7,0.0004,0.001
C1,0.7188165500456343,0.5555555555555556,0.06578947368421052,0.0020901572424918413,0.7803583741188049,50,17.892810821533203,64,4,8,2,0.7,0.0003,0.001
D2,0.7172954061454214,0.4166666666666667,0.06578947368421052,0.0023025560658425093,0.7938615679740906,50,18.04923176765442,64,4,8,2,0.7,0.0005,0.002
C4,0.7162306054152723,0.4,0.07894736842105263,0.0013371080858632922,0.8471036553382874,50,17.83967614173889,64,4,8,2,0.7,0.0008,0.001
D1,0.7144052327350168,0.42105263157894735,0.10526315789473684,0.0005176953854970634,0.825021505355835,50,24.605305910110474,64,4,8,2,0.7,0.0005,0.0005
C3,0.7133024034073623,0.3684210526315789,0.09210526315789473,0.0007365702767856419,0.8037219643592834,50,24.82610321044922,64,4,8,2,0.7,0.0006,0.001
D3,0.713264374809857,0.3,0.039473684210526314,0.0035019838251173496,0.7305440902709961,50,18.386237859725952,64,4,8,2,0.7,0.0005,0.003
A1,0.7131502890173409,0.5384615384615384,0.09210526315789473,0.001408816664479673,0.772135317325592,50,17.82686710357666,64,4,8,2,0.75,0.0005,0.001
B3,0.7122756312747186,0.5555555555555556,0.06578947368421052,0.003785103326663375,0.8072144985198975,50,13.19891095161438,64,4,8,2,0.55,0.0005,0.001
F1,0.711971402494676,0.45454545454545453,0.06578947368421052,0.002223969902843237,0.7070168256759644,50,18.100575923919678,64,4,8,2,0.75,0.0004,0.002
F4,0.7108685731670217,0.38461538461538464,0.13157894736842105,0.0016794459661468863,0.8651756644248962,50,23.355182886123657,64,3,8,2,0.8,0.0004,0.001
A2,0.7107164587770003,0.45,0.11842105263157894,0.0010303736198693514,0.8669266700744629,50,32.01897716522217,64,4,8,2,0.8,0.0005,0.001
F2,0.7102601156069365,0.4375,0.09210526315789473,0.0020090118050575256,0.7772229313850403,50,32.325562715530396,64,4,8,2,0.8,0.0003,0.002
B4,0.7088530574992394,0.4074074074074074,0.14473684210526316,0.002869867254048586,0.8920658230781555,50,15.93088984489441,64,4,8,2,0.6,0.0005,0.001
E2,0.7088530574992393,0.4117647058823529,0.09210526315789473,0.0023685337509959936,0.8110637664794922,50,17.958782196044922,48,3,8,2,0.7,0.0005,0.001
D4,0.708206571341649,0.375,0.039473684210526314,0.006319198291748762,0.626915454864502,50,18.080236196517944,64,4,8,2,0.7,0.0005,0.005
E1,0.7075600851840584,0.5384615384615384,0.09210526315789473,0.003540672129020095,0.791106104850769,50,15.446523904800415,48,4,8,2,0.7,0.0005,0.001
B2,0.7053544265287496,0.38461538461538464,0.13157894736842105,0.0034766721073538065,0.8873789310455322,50,15.906544923782349,64,4,8,2,0.5,0.0005,0.001
F3,0.7048220261636751,0.5,0.05263157894736842,0.004033517558127642,0.6534832119941711,50,15.31695008277893,48,4,8,2,0.75,0.0005,0.002
E4,0.7047459689686646,0.4583333333333333,0.14473684210526316,0.0008869031444191933,0.9107638597488403,50,20.603331089019775,80,4,8,2,0.7,0.0005,0.001
B1,0.7045938545786431,0.36363636363636365,0.10526315789473684,0.0027947816997766495,0.8640474081039429,50,12.633790969848633,64,4,8,2,0.45,0.0005,0.001
E3,0.7038713112260419,0.38095238095238093,0.10526315789473684,0.0014827909180894494,0.8383083343505859,50,15.339802742004395,64,3,8,2,0.7,0.0005,0.001
A3,0.6989275935503498,0.4666666666666667,0.09210526315789473,0.00083446892676875,0.8121758699417114,50,34.57517695426941,64,4,8,2,0.85,0.0005,0.001
A4,0.6959613629449347,0.5,0.11842105263157894,0.0009596869349479675,0.7142881155014038,50,34.09719204902649,64,4,8,2,0.9,0.0005,0.001
