config,criterion,val_loss,auc,accuracy,pred_min,pred_max,pred_std,pred_mean,pred_spread,train_time_s,status
bce,BCELoss,0.31745198901210514,0.6671058410188845,0.8959276018099548,0.01724301,0.36674157,0.06241431,0.080163665,0.34949857,22.51434326171875,success
softauc,SoftAUCLoss,0.44662281764405115,0.6396025472112429,0.7239819004524887,0.000380533,0.9993337,0.42013988,0.26776937,0.99895316,30.68648409843445,success
focal,FocalLoss,0.030565745795943906,0.6527228809837504,0.8959276018099548,0.13664669,0.31820497,0.03518481,0.21109495,0.18155828,23.823179960250854,success
label_smooth,LabelSmoothingBCELoss,0.4695047587156296,0.6587066315327186,0.8959276018099548,0.0833095,0.35041878,0.047551088,0.16422601,0.26710927,23.968360900878906,success
