gamma,alpha,dropout,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec
0.0,0.3,0.3,0.7260039549741405,0.5,0.013157894736842105,0.005577806383371353,0.5905429124832153,50,40.268101930618286
0.0,0.35,0.3,0.7263842409491938,0.42857142857142855,0.039473684210526314,0.006950416602194309,0.6587194800376892,50,38.982916831970215
0.0,0.4,0.3,0.7308335868573167,0.3333333333333333,0.013157894736842105,0.007929977029561996,0.6037279367446899,50,30.761432886123657
0.0,0.45,0.3,0.7219348950410709,0.5294117647058824,0.11842105263157894,0.007530699949711561,0.7631259560585022,50,48.12369894981384
0.0,0.5,0.3,0.7303011864922422,0.4642857142857143,0.17105263157894737,0.01222146861255169,0.8090474009513855,50,36.780312061309814
0.0,0.6,0.3,0.7230377243687253,0.4074074074074074,0.2894736842105263,0.01339264027774334,0.8723557591438293,50,46.23585915565491
0.0,0.7,0.3,0.7246349254639489,0.3953488372093023,0.4473684210526316,0.0237379539757967,0.9187588095664978,50,41.44985008239746
0.0,0.8,0.3,0.7249771828414968,0.3458646616541353,0.6052631578947368,0.0308467298746109,0.9564594030380249,50,46.21765089035034
0.0,0.85,0.3,0.724672954061454,0.3163841807909605,0.7368421052631579,0.04019944369792938,0.9706481099128723,50,46.346999168395996
0.0,0.9,0.3,0.7229616671737147,0.24583333333333332,0.7763157894736842,0.04956546425819397,0.9850236177444458,50,53.7474319934845
0.5,0.3,0.3,0.7249771828414968,0.6666666666666666,0.02631578947368421,0.01912432350218296,0.6389182806015015,50,46.980278730392456
0.5,0.35,0.3,0.7247109826589595,0.5,0.05263157894736842,0.02212349697947502,0.6830664277076721,50,47.044676780700684
0.5,0.4,0.3,0.725585640401582,0.5714285714285714,0.10526315789473684,0.025238599628210068,0.7209892272949219,50,46.91793203353882
0.5,0.45,0.3,0.7260419835716458,0.45,0.11842105263157894,0.028572605922818184,0.754051923751831,50,46.93904161453247
0.5,0.5,0.3,0.7264983267417098,0.47058823529411764,0.21052631578947367,0.03224988281726837,0.7834160923957825,50,47.027464151382446
0.5,0.6,0.3,0.7280194706419226,0.40350877192982454,0.3026315789473684,0.04119082912802696,0.8336499929428101,50,46.62946605682373
0.5,0.7,0.3,0.7274870702768481,0.36904761904761907,0.40789473684210525,0.053430549800395966,0.8765644431114197,50,46.55954313278198
0.5,0.8,0.3,0.7295786431396409,0.35714285714285715,0.6578947368421053,0.07299302518367767,0.9161588549613953,50,46.35946989059448
0.5,0.85,0.3,0.7298068147246729,0.3,0.75,0.08843202143907547,0.9360802173614502,50,46.47379803657532
0.5,0.9,0.3,0.7285138424094919,0.24701195219123506,0.8157894736842105,0.11184531450271606,0.9604227542877197,50,52.58359694480896
1.0,0.3,0.3,0.7301871006997261,0.5,0.02631578947368421,0.04863227158784866,0.6322479844093323,50,47.170654296875
1.0,0.35,0.3,0.7303011864922422,0.4444444444444444,0.05263157894736842,0.05440961942076683,0.6651750802993774,50,47.044562101364136
1.0,0.4,0.3,0.7306054152722847,0.5384615384615384,0.09210526315789473,0.06025885418057442,0.6941410303115845,50,47.35116386413574
1.0,0.45,0.3,0.7310237298448434,0.5,0.14473684210526316,0.06631689518690109,0.7202498912811279,50,47.0070481300354
1.0,0.5,0.3,0.7305673866747794,0.48484848484848486,0.21052631578947367,0.07269563525915146,0.7441213130950928,50,46.95801329612732
1.0,0.6,0.3,0.730871615454822,0.38333333333333336,0.3026315789473684,0.08678701519966125,0.787894070148468,50,47.06321406364441
1.0,0.7,0.3,0.7306434438697901,0.37894736842105264,0.47368421052631576,0.10401583462953568,0.8293463587760925,50,47.046536922454834
1.0,0.8,0.3,0.7316321874049285,0.3464052287581699,0.6973684210526315,0.12893840670585632,0.872144341468811,50,46.815808057785034
1.0,0.85,0.3,0.7327730453300882,0.29207920792079206,0.7763157894736842,0.14727850258350372,0.8954725861549377,50,46.55795621871948
1.0,0.9,0.3,0.733115302707636,0.25,0.868421052631579,0.17419514060020447,0.9215191602706909,50,46.295361042022705
2.0,0.3,0.3,0.7355871615454821,0.3333333333333333,0.013157894736842105,0.13755075633525848,0.5492407083511353,50,47.39184808731079
2.0,0.35,0.3,0.7355871615454822,0.4,0.02631578947368421,0.14766569435596466,0.571550190448761,50,47.11131691932678
2.0,0.4,0.3,0.7355871615454822,0.4444444444444444,0.05263157894736842,0.15741950273513794,0.5922194123268127,50,46.97029709815979
2.0,0.45,0.3,0.7363857620930939,0.4166666666666667,0.06578947368421052,0.16711211204528809,0.6116845011711121,50,47.37997913360596
2.0,0.5,0.3,0.7370702768481898,0.36363636363636365,0.10526315789473684,0.17684900760650635,0.6305482983589172,50,47.03773474693298
2.0,0.6,0.3,0.7371083054456953,0.391304347826087,0.23684210526315788,0.19722828269004822,0.6680739521980286,50,47.03351616859436
2.0,0.7,0.3,0.7369181624581685,0.4,0.4473684210526316,0.22050322592258453,0.7077212929725647,50,47.05477595329285
2.0,0.8,0.3,0.7380590203833283,0.35064935064935066,0.7105263157894737,0.25045719742774963,0.7540942430496216,50,46.97845387458801
2.0,0.85,0.3,0.7383252205658656,0.29245283018867924,0.8157894736842105,0.27085158228874207,0.7829152941703796,50,47.679017066955566
2.0,0.9,0.3,0.7384773349558869,0.2375886524822695,0.881578947368421,0.29897865653038025,0.8197802305221558,50,46.733471155166626
0.0,0.3,0.4,0.7275631274718588,0.0,0.0,0.0035046536941081285,0.5222554206848145,50,48.793874979019165
0.0,0.35,0.4,0.7272208700943108,0.5,0.013157894736842105,0.004485750105232,0.6033925414085388,50,47.57968497276306
0.0,0.4,0.4,0.7269166413142684,0.4,0.02631578947368421,0.005619804374873638,0.6740599870681763,50,47.45430016517639
0.0,0.45,0.4,0.7271828414968057,0.5384615384615384,0.09210526315789473,0.006942410953342915,0.7346368432044983,50,48.832358837127686
0.0,0.5,0.4,0.7277532704593854,0.3888888888888889,0.09210526315789473,0.008504705503582954,0.786115288734436,50,46.11850595474243
0.0,0.6,0.4,0.7298828719196836,0.4074074074074074,0.2894736842105263,0.012723444029688835,0.8661721348762512,50,46.56513500213623
0.0,0.7,0.4,0.7325068451475509,0.3875,0.40789473684210525,0.01947472244501114,0.9215861558914185,50,46.23945426940918
0.0,0.8,0.4,0.7344843322178278,0.373015873015873,0.618421052631579,0.03243733197450638,0.9599061012268066,50,46.12678289413452
0.0,0.85,0.4,0.7352829327654397,0.32571428571428573,0.75,0.0451631173491478,0.9742835760116577,50,46.46207094192505
0.0,0.9,0.4,0.7370702768481899,0.2581967213114754,0.8289473684210527,0.07077962160110474,0.9866632223129272,50,48.37885570526123
0.5,0.3,0.4,0.7270307271067843,0.5,0.013157894736842105,0.017743993550539017,0.5530608296394348,50,47.08377385139465
