gamma,alpha,dropout,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec
0.0,0.3,0.3,0.6952388195923335,0.4,0.02631578947368421,0.00045315740862861276,0.8246414065361023,50,13.051243782043457
0.0,0.35,0.3,0.6937176756921205,0.36363636363636365,0.05263157894736842,0.0004985494306311011,0.8825346231460571,50,13.549947023391724
0.0,0.4,0.3,0.6923486461819288,0.35294117647058826,0.07894736842105263,0.0005768535775132477,0.9189066886901855,50,13.362052917480469
0.0,0.45,0.3,0.6903331305141466,0.37037037037037035,0.13157894736842105,0.0006844899035058916,0.9415454864501953,50,13.239956140518188
0.0,0.5,0.3,0.6863020991785823,0.40540540540540543,0.19736842105263158,0.0008202450699172914,0.95554119348526,50,13.09768795967102
0.0,0.6,0.3,0.6817386674779433,0.35,0.27631578947368424,0.001177315367385745,0.969163715839386,50,13.926924705505371
0.0,0.7,0.3,0.6785442652874961,0.34523809523809523,0.3815789473684211,0.0016691951313987374,0.9760194420814514,50,12.994515895843506
0.0,0.8,0.3,0.6782400365074536,0.32786885245901637,0.5263157894736842,0.002678177086636424,0.9855945110321045,50,12.81107473373413
0.0,0.85,0.3,0.6806738667477943,0.32142857142857145,0.5921052631578947,0.0036795837804675102,0.9886365532875061,50,13.46161699295044
0.0,0.9,0.3,0.6854274414359598,0.2947976878612717,0.6710526315789473,0.006687821354717016,0.9895721673965454,50,13.816386938095093
0.5,0.3,0.3,0.6925768177669607,0.5,0.02631578947368421,0.0036912374198436737,0.7230910658836365,50,13.929808855056763
0.5,0.35,0.3,0.6902951019166413,0.375,0.039473684210526314,0.003966052550822496,0.7817263603210449,50,13.932995080947876
0.5,0.4,0.3,0.6891542439914816,0.3076923076923077,0.05263157894736842,0.004365027416497469,0.8254349231719971,50,13.977315187454224
0.5,0.45,0.3,0.6868725281411622,0.38461538461538464,0.13157894736842105,0.004891380667686462,0.8579504489898682,50,13.547494173049927
0.5,0.5,0.3,0.6854654700334651,0.43243243243243246,0.21052631578947367,0.005453126505017281,0.8819320797920227,50,13.713021278381348
