config_name,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,dropout,learning_rate,weight_decay
C1,0.73064344386979,0.4,0.13157894736842105,0.012150436639785767,0.8077726364135742,50,37.11059093475342,128,6,8,4,0.3,5e-05,0.0003
F1,0.7284758138119867,0.5625,0.11842105263157894,0.011652933433651924,0.7369557619094849,50,30.50068187713623,128,6,8,4,0.35,7e-05,0.0003
C4,0.7284758138119867,0.4782608695652174,0.14473684210526316,0.011374806985259056,0.7864831686019897,50,46.86466598510742,128,6,8,4,0.3,5e-05,0.002
A4,0.7284377852144813,0.42857142857142855,0.07894736842105263,0.008402553386986256,0.7276256680488586,50,47.01420593261719,128,6,8,4,0.5,5e-05,0.0001
A3,0.7279814420444174,0.4375,0.09210526315789473,0.008926435373723507,0.7723643779754639,50,47.393858194351196,128,6,8,4,0.45,5e-05,0.0001
D2,0.7277532704593853,0.40384615384615385,0.27631578947368424,0.01011158898472786,0.8554345965385437,50,47.11945700645447,128,4,8,4,0.4,5e-05,0.0001
A2,0.7272588986918163,0.4,0.10526315789473684,0.00858732033520937,0.7816157341003418,50,47.65035390853882,128,6,8,4,0.4,5e-05,0.0001
A1,0.726764526924247,0.45454545454545453,0.13157894736842105,0.008372951298952103,0.7949221134185791,50,47.908031940460205,128,6,8,4,0.35,5e-05,0.0001
C3,0.7263842409491938,0.4583333333333333,0.14473684210526316,0.010522603988647461,0.7990031838417053,50,47.36302995681763,128,6,8,4,0.3,5e-05,0.001
A5,0.7248630970489808,0.38461538461538464,0.06578947368421052,0.008789808489382267,0.6962709426879883,50,44.57973575592041,128,6,8,4,0.55,5e-05,0.0001
B1,0.7245968968664436,0.5294117647058824,0.11842105263157894,0.008975141681730747,0.7231053113937378,50,30.32670783996582,128,6,8,4,0.3,7e-05,0.0001
E3,0.7245588682689383,0.38095238095238093,0.10526315789473684,0.009342601522803307,0.7559540271759033,50,52.88058614730835,128,7,8,4,0.4,5e-05,0.0001
C2,0.7244828110739276,0.4444444444444444,0.15789473684210525,0.00985987763851881,0.805344820022583,50,47.91907095909119,128,6,8,4,0.3,5e-05,0.0005
D1,0.7243687252814116,0.36363636363636365,0.10526315789473684,0.0065523781813681126,0.7915661334991455,50,39.12815999984741,128,4,8,4,0.3,5e-05,0.0001
E4,0.7235320961362945,0.5151515151515151,0.2236842105263158,0.010920642875134945,0.8618382811546326,50,35.05275297164917,160,6,8,4,0.3,5e-05,0.0001
F2,0.7210222087009431,0.4166666666666667,0.13157894736842105,0.007483788300305605,0.8406098484992981,50,45.98589301109314,128,6,8,4,0.4,8e-05,0.0005
B2,0.7206799513233952,0.5294117647058824,0.11842105263157894,0.008090075105428696,0.7454674243927002,50,30.045135974884033,128,6,8,4,0.3,8e-05,0.0001
F4,0.7202996653483419,0.4,0.15789473684210525,0.012300466187298298,0.7621794939041138,50,47.42609000205994,128,7,8,4,0.35,5e-05,0.0003
E2,0.7202996653483419,0.5,0.13157894736842105,0.008172551169991493,0.8260615468025208,50,53.03411889076233,128,8,8,4,0.3,5e-05,0.0001
F3,0.7166108913903255,0.48148148148148145,0.17105263157894737,0.007945714518427849,0.8296202421188354,50,32.17120695114136,128,5,8,4,0.35,7e-05,0.0001
D4,0.7164207484027988,0.4666666666666667,0.09210526315789473,0.009139475412666798,0.7226162552833557,50,21.06562614440918,96,5,8,4,0.3,5e-05,0.0001
D3,0.7156221478551872,0.47368421052631576,0.11842105263157894,0.013769257813692093,0.7197151780128479,50,16.408072233200073,96,4,8,4,0.3,5e-05,0.0001
E1,0.7153939762701551,0.37142857142857144,0.17105263157894737,0.011577875353395939,0.8188089728355408,50,47.0753870010376,128,7,8,4,0.3,5e-05,0.0001
A6,0.7147474901125647,0.44,0.14473684210526316,0.007567168679088354,0.7849276661872864,50,68.34353828430176,128,6,8,4,0.6,5e-05,0.0001
B3,0.7128080316397931,0.46153846153846156,0.07894736842105263,0.014552603475749493,0.7804862856864929,50,24.164194107055664,128,6,8,4,0.3,0.0001,0.0001
B4,0.7058487982963189,0.5,0.09210526315789473,0.01260810811072588,0.7913920283317566,50,24.303955078125,128,6,8,4,0.3,0.00012,0.0001
B5,0.6985473075752966,0.5,0.10526315789473684,0.01029093749821186,0.8125450611114502,50,24.25834608078003,128,6,8,4,0.3,0.00015,0.0001
