model_size,horizon,loss,val_loss,auc,accuracy,pred_spread,train_time_s,n_train,n_val
20M,1,bce,0.3451604671510203,0.6203337725076856,0.8959276018099548,0.2455203,266.2419157028198,7277,442
20M,1,weighted_05,0.4179792989577566,0.6280193236714977,0.8936651583710408,0.5156923,286.9236180782318,7277,442
20M,3,bce,0.6468044242688588,0.5546325435024065,0.6409090909090909,0.54585135,274.5754816532135,7275,440
20M,3,weighted_05,0.5860802988920893,0.5505831173639393,0.6318181818181818,0.67714167,286.6000351905823,7275,440
20M,5,bce,0.7497636111719268,0.5859883236030025,0.5296803652968036,0.5208547,273.9250147342682,7273,438
20M,5,weighted_05,0.684312675680433,0.5583402835696414,0.5319634703196348,0.77618176,291.2260401248932,7273,438
