trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7122756312747186,,,,,True,min_d_model,37.592763900756836,64,6,8,4,5e-05,0.3,0.0001
1,0.7175235777304534,,,,,True,max_d_model,38.4794979095459,192,6,8,4,5e-05,0.3,0.0001
2,0.7243687252814116,,,,,True,min_n_layers,41.67542505264282,128,4,8,4,5e-05,0.3,0.0001
3,0.7202996653483419,,,,,True,max_n_layers,55.33608913421631,128,8,8,4,5e-05,0.3,0.0001
4,0.7294265287496198,,,,,True,min_n_heads,33.35297107696533,128,6,4,4,5e-05,0.3,0.0001
5,0.7314800730149073,,,,,True,max_n_heads,32.49245882034302,128,6,8,4,5e-05,0.3,0.0001
6,0.7191968360206876,,,,,False,,20.636549949645996,96,6,8,2,0.0005,0.5,0.001
7,0.6462960146029815,,,,,False,,28.59255599975586,192,7,4,2,0.0005,0.3,0.0001
8,0.7071797992090052,,,,,False,,48.229199171066284,64,7,4,4,0.0005,0.7,0.0001
9,0.6730301186492242,,,,,False,,28.01563000679016,128,7,4,4,0.0001,0.1,1e-05
10,0.7104882871919684,,,,,False,,42.37005400657654,64,7,8,2,0.0005,0.7,1e-05
11,0.7152798904776393,,,,,False,,46.50489401817322,192,8,4,2,0.0001,0.5,0.0001
12,0.6888500152114391,,,,,False,,55.98528575897217,96,8,4,4,1e-05,0.5,0.0
13,0.6952007909948281,,,,,False,,53.90017604827881,64,8,4,4,5e-05,0.7,0.001
14,0.6812442957103743,,,,,False,,36.93646287918091,160,8,8,2,5e-05,0.1,0.0
15,0.719729236385762,,,,,False,,40.7495641708374,96,6,8,4,1e-05,0.1,0.0
16,0.715241861880134,,,,,False,,15.899481058120728,96,4,8,4,0.0001,0.5,0.0001
17,0.6848950410708854,,,,,False,,19.721744060516357,160,5,4,2,0.0005,0.3,0.0
18,0.7156601764526924,,,,,False,,28.532731771469116,96,8,4,2,5e-05,0.3,0.0001
19,0.708206571341649,,,,,False,,87.6042103767395,128,7,8,4,1e-05,0.5,1e-05
20,0.7240264679038637,,,,,False,,54.5676372051239,128,4,8,2,5e-05,0.7,0.001
21,0.698585336172802,,,,,False,,19.87055516242981,160,5,8,4,0.0001,0.1,0.001
22,0.719957407970794,,,,,False,,66.28239059448242,192,5,8,2,1e-05,0.3,1e-05
23,0.7016656525707333,,,,,False,,29.95876979827881,64,4,4,4,5e-05,0.7,0.0
24,0.7207940371159113,,,,,False,,51.31587314605713,192,6,8,4,1e-05,0.1,1e-05
25,0.7236842105263158,,,,,False,,25.537713050842285,128,4,4,2,0.0001,0.3,0.001
26,0.6881274718588378,,,,,False,,24.898592948913574,160,5,4,4,0.0001,0.3,0.0
27,0.7012093094006693,,,,,False,,35.04778790473938,160,6,8,2,0.0005,0.5,0.0001
28,0.6921965317919075,,,,,False,,76.95397305488586,192,6,4,2,1e-05,0.7,0.001
29,0.7131883176148464,,,,,False,,17.084672927856445,64,4,8,4,5e-05,0.1,1e-05
30,0.7192348646181929,,,,,False,,55.817723751068115,128,5,4,4,1e-05,0.1,0.0001
31,0.7240264679038637,,,,,False,,54.74406814575195,128,4,8,2,5e-05,0.7,0.001
32,0.7240264679038637,,,,,False,,54.95828104019165,128,4,8,2,5e-05,0.7,0.001
33,0.7240264679038637,,,,,False,,54.68411993980408,128,4,8,2,5e-05,0.7,0.001
34,0.7240264679038637,,,,,False,,54.76043510437012,128,4,8,2,5e-05,0.7,0.001
35,0.7240264679038637,,,,,False,,54.9730179309845,128,4,8,2,5e-05,0.7,0.001
36,0.7136826893824156,,,,,False,,34.180988073349,96,7,8,2,0.0005,0.7,0.001
37,0.7125798600547611,,,,,False,,28.517884731292725,128,6,8,2,0.0005,0.5,0.001
38,0.6916261028293277,,,,,False,,46.19814872741699,64,7,8,2,5e-05,0.7,1e-05
39,0.6868344995436567,,,,,False,,16.715168714523315,192,4,8,2,0.0005,0.3,0.0001
40,0.7244447824764223,,,,,False,,71.60932493209839,128,7,4,2,0.0001,0.7,0.001
41,0.7244447824764223,,,,,False,,71.4521381855011,128,7,4,2,0.0001,0.7,0.001
42,0.7244447824764223,,,,,False,,72.67368602752686,128,7,4,2,0.0001,0.7,0.001
43,0.7244447824764223,,,,,False,,72.82105588912964,128,7,4,2,0.0001,0.7,0.001
44,0.7244447824764223,,,,,False,,72.55009603500366,128,7,4,2,0.0001,0.7,0.001
45,0.7244447824764223,,,,,False,,72.70950317382812,128,7,4,2,0.0001,0.7,0.001
46,0.7244447824764223,,,,,False,,72.8850371837616,128,7,4,2,0.0001,0.7,0.001
47,0.7244447824764223,,,,,False,,73.76341581344604,128,7,4,2,0.0001,0.7,0.001
48,0.7244447824764223,,,,,False,,75.14454078674316,128,7,4,2,0.0001,0.7,0.001
49,0.7103742013994524,,,,,False,,38.88352990150452,96,7,4,2,0.0001,0.7,0.001
