config,type,val_loss,auc,accuracy,pred_min,pred_max,pred_std,pred_mean,pred_spread,train_time_s,status
weighted_03,weighted_sum,0.43829628612313953,0.6581027667984191,0.8846153846153846,0.0075427024,0.76035327,0.13481677,0.105013035,0.75281054,30.81624484062195,success
weighted_05,weighted_sum,0.403854889529092,0.6647452788757138,0.9004524886877828,0.011524569,0.5402793,0.087220185,0.086636275,0.5287548,30.064377069473267,success
weighted_07,weighted_sum,0.36968798296792166,0.666501976284585,0.8959276018099548,0.014262613,0.42728683,0.06749384,0.08252304,0.41302422,30.809337854385376,success
twophase_5_5,twophase,0.47916761679308756,0.6412494510320598,0.7760180995475113,0.016397085,0.94433975,0.26606625,0.254111,0.9279427,25.84835910797119,success
twophase_7_3,twophase,0.4752476236649922,0.6541501976284585,0.7873303167420814,0.020518346,0.9174448,0.24473667,0.26060003,0.89692646,24.32180619239807,success
twophase_5_5_lr5,twophase,0.4675187681402479,0.6554677206851119,0.7420814479638009,0.005626961,0.9781365,0.33663952,0.2603717,0.9725095,26.496090173721313,success
twophase_focal,twophase,0.4944166966847011,0.6192907334211681,0.8009049773755657,0.046635915,0.8995332,0.22299302,0.2572168,0.8528973,26.602491855621338,success
weighted_focal_05,weighted_focal,0.25914354622364044,0.6649099692577953,0.8914027149321267,0.012849597,0.66116107,0.13341145,0.15381579,0.6483115,32.09344792366028,success
