config_name,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,dropout,learning_rate,weight_decay
FL19,0.7366899908731366,0.36666666666666664,0.5789473684210527,0.037751808762550354,0.9598525166511536,50,55.36215114593506,128,6,8,4,0.45,5e-05,0.0005
FL06,0.734750532400365,0.38016528925619836,0.6052631578947368,0.01754336804151535,0.9555865526199341,50,52.43403911590576,128,4,8,4,0.4,5e-05,0.0001
FL03,0.7344843322178278,0.373015873015873,0.618421052631579,0.03243733197450638,0.9599061012268066,50,53.81855010986328,128,6,8,4,0.4,5e-05,0.0001
FL25,0.7333054456951628,0.35294117647058826,0.631578947368421,0.03125418722629547,0.9563422799110413,50,39.59152173995972,128,3,8,4,0.4,5e-05,0.0001
FL04,0.7329631883176149,0.3565217391304348,0.5394736842105263,0.03704296797513962,0.9360209107398987,50,35.441922187805176,128,6,8,4,0.3,7e-05,0.0001
FL02,0.7326589595375724,0.3643410852713178,0.618421052631579,0.030046937987208366,0.9587354063987732,50,53.330925703048706,128,6,8,4,0.35,5e-05,0.0001
FL09,0.7317843017949498,0.35833333333333334,0.5657894736842105,0.042061321437358856,0.959226667881012,50,60.01806688308716,128,6,8,4,0.5,5e-05,0.0001
FL22,0.7299589291146943,0.37735849056603776,0.5263157894736842,0.02620900422334671,0.9499145746231079,50,79.30500078201294,128,8,8,4,0.4,5e-05,0.0003
FL11,0.7291603285670823,0.34782608695652173,0.5263157894736842,0.03280527517199516,0.9223738312721252,50,36.458256244659424,128,6,8,4,0.2,5e-05,0.0001
FL14,0.7277152418618801,0.3310344827586207,0.631578947368421,0.02386208064854145,0.9664684534072876,50,41.219849824905396,128,4,8,4,0.35,7e-05,0.0001
FL15,0.7274110130818375,0.3611111111111111,0.6842105263157895,0.040787871927022934,0.9636718034744263,50,68.5532579421997,128,7,8,4,0.35,5e-05,0.0003
FL10,0.726650441131731,0.32857142857142857,0.6052631578947368,0.03860705345869064,0.9507756233215332,50,49.430784940719604,128,6,8,4,0.3,5e-05,0.0003
FL18,0.7256616975965926,0.3559322033898305,0.5526315789473685,0.032557323575019836,0.9300416111946106,50,36.24980425834656,128,6,8,4,0.25,7e-05,0.0001
FL23,0.7256236689990874,0.3656716417910448,0.6447368421052632,0.019311513751745224,0.976966917514801,50,42.74972486495972,192,4,8,4,0.4,5e-05,0.0001
FL01,0.7249771828414968,0.3458646616541353,0.6052631578947368,0.0308467298746109,0.9564594030380249,50,53.01147818565369,128,6,8,4,0.3,5e-05,0.0001
FL07,0.7241025250988743,0.3602941176470588,0.6447368421052632,0.042463842779397964,0.9577502608299255,50,47.47825789451599,160,6,8,4,0.3,5e-05,0.0001
FL21,0.7236081533313051,0.36752136752136755,0.5657894736842105,0.023322386667132378,0.9625319242477417,50,77.94261312484741,128,8,8,4,0.35,5e-05,0.0001
FL05,0.7233799817462733,0.35833333333333334,0.5657894736842105,0.04530196264386177,0.948140561580658,50,27.666006803512573,128,6,8,4,0.3,0.0001,0.0001
FL13,0.721478551871007,0.3644067796610169,0.5657894736842105,0.018251795321702957,0.9590243697166443,50,55.02626395225525,160,5,8,4,0.35,5e-05,0.0001
FL12,0.7200334651658046,0.34558823529411764,0.618421052631579,0.028747055679559708,0.9609553813934326,50,55.02367115020752,128,6,8,4,0.3,5e-05,1e-05
FL16,0.7198052935807727,0.37037037037037035,0.6578947368421053,0.035944536328315735,0.9581074118614197,50,37.8616840839386,96,5,8,4,0.3,5e-05,0.0001
FL24,0.7195390933982354,0.352,0.5789473684210527,0.015917159616947174,0.9680611491203308,50,56.55341291427612,160,5,8,4,0.4,7e-05,0.0001
FL17,0.7188926072406451,0.36220472440944884,0.6052631578947368,0.027352912351489067,0.961973249912262,50,37.6064670085907,160,4,8,4,0.4,5e-05,0.0001
FL20,0.7177897779129906,0.3879310344827586,0.5921052631578947,0.01080753281712532,0.9719431400299072,50,61.69921088218689,192,6,8,4,0.3,5e-05,0.0001
FL08,0.7130362032248251,0.35074626865671643,0.618421052631579,0.026923997327685356,0.9613020420074463,50,42.008378982543945,128,5,8,4,0.35,7e-05,0.0001
