gamma,alpha,dropout,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec
0.0,0.3,0.3,0.699536051110435,0.0,0.0,0.002422909252345562,0.6827727556228638,50,17.450347900390625
0.0,0.35,0.3,0.7015895953757225,0.0,0.0,0.00309914443641901,0.7556942701339722,50,13.589767217636108
0.0,0.4,0.3,0.7003726802555521,0.25,0.02631578947368421,0.003500439692288637,0.7934908866882324,50,13.667428016662598
0.0,0.45,0.3,0.6982430787952539,0.38461538461538464,0.06578947368421052,0.003960772417485714,0.8226043581962585,50,13.27428388595581
0.0,0.5,0.3,0.6967599634925464,0.4,0.10526315789473684,0.004481339827179909,0.8443433046340942,50,13.617532014846802
0.0,0.6,0.3,0.6928810465470032,0.36363636363636365,0.15789473684210525,0.005670593120157719,0.8736521601676941,50,12.629379749298096
0.0,0.7,0.3,0.7001825372680256,0.38,0.25,0.013498167507350445,0.8780492544174194,50,11.205715894699097
0.0,0.8,0.3,0.7004867660480683,0.37362637362637363,0.4473684210526316,0.015890732407569885,0.9202332496643066,50,10.580467224121094
0.0,0.85,0.3,0.7006008518405841,0.3253968253968254,0.5394736842105263,0.02125813439488411,0.9466018676757812,50,10.659456014633179
0.0,0.9,0.3,0.691435959841801,0.28994082840236685,0.6447368421052632,0.025363294407725334,0.9756952524185181,50,11.841108798980713
0.5,0.3,0.3,0.7002966230605414,0.3333333333333333,0.013157894736842105,0.012703968212008476,0.6416084170341492,50,15.989244222640991
0.5,0.35,0.3,0.6993459081229084,0.16666666666666666,0.013157894736842105,0.014340857975184917,0.6851592659950256,50,16.131998300552368
0.5,0.4,0.3,0.69835716458777,0.36363636363636365,0.05263157894736842,0.01630442775785923,0.7204866409301758,50,16.087414026260376
0.5,0.45,0.3,0.6972163066626103,0.4444444444444444,0.10526315789473684,0.018723584711551666,0.7494598627090454,50,16.314157962799072
0.5,0.5,0.3,0.6949345908122908,0.38461538461538464,0.13157894736842105,0.02166314236819744,0.7737229466438293,50,17.149554014205933
0.5,0.6,0.3,0.6986613933678125,0.375,0.11842105263157894,0.023463668301701546,0.7668971419334412,50,11.855983018875122
0.5,0.7,0.3,0.6991557651353818,0.3404255319148936,0.21052631578947367,0.02845008485019207,0.7920082807540894,50,10.617142677307129
0.5,0.8,0.3,0.7001445086705202,0.38461538461538464,0.4605263157894737,0.03960452601313591,0.8552541136741638,50,10.615174055099487
0.5,0.85,0.3,0.7006769090355947,0.3125,0.5263157894736842,0.049824632704257965,0.8888395428657532,50,10.562222003936768
0.5,0.9,0.3,0.690485244904168,0.28654970760233917,0.6447368421052632,0.06382579356431961,0.9392275810241699,50,11.97180986404419
1.0,0.3,0.3,0.7011332522056587,0.3333333333333333,0.013157894736842105,0.034261997789144516,0.6061503887176514,50,16.144651889801025
1.0,0.35,0.3,0.6991937937328873,0.14285714285714285,0.013157894736842105,0.03717214614152908,0.6407136917114258,50,16.051769971847534
1.0,0.4,0.3,0.6987374505628232,0.4166666666666667,0.06578947368421052,0.04064391553401947,0.6693843603134155,50,15.986541986465454
1.0,0.45,0.3,0.697292363857621,0.42105263157894735,0.10526315789473684,0.0446859635412693,0.6937085390090942,50,16.757426977157593
1.0,0.5,0.3,0.6961515059324612,0.35714285714285715,0.13157894736842105,0.04947720468044281,0.7156679034233093,50,15.910348653793335
1.0,0.6,0.3,0.6959233343474293,0.375,0.23684210526315788,0.06041726842522621,0.7553530931472778,50,16.687314987182617
1.0,0.7,0.3,0.6955430483723761,0.34065934065934067,0.40789473684210525,0.07669342309236526,0.799778938293457,50,16.175028085708618
1.0,0.8,0.3,0.6950106480073015,0.35714285714285715,0.4605263157894737,0.0749775767326355,0.8246436715126038,50,11.917957067489624
1.0,0.85,0.3,0.6933754183145725,0.319672131147541,0.5131578947368421,0.08876445889472961,0.8577881455421448,50,11.930750131607056
