config,use_zscore,use_revin,val_loss,auc,accuracy,precision,recall,f1,pred_min,pred_max,pred_std,pred_mean,train_time_s
zscore_only,True,False,6.169472518584891e-05,,1.0,1.0,1.0,1.0,0.99991834,0.9999567,7.2215744e-06,0.99993825,22.381550073623657
revin_only,False,True,0.44420609197446276,0.6707117201938836,0.8212669683257918,0.0,0.0,0.0,0.036697883,0.48170304,0.08764499,0.13781068,22.92862892150879
zscore_revin,True,True,1.0653855757222378e-05,,1.0,1.0,1.0,1.0,0.999984,0.9999913,1.131899e-06,0.9999894,22.945672035217285
