trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7100699726194097,,,,,True,min_d_model,27.590863943099976,64,6,8,4,5e-05,0.3,0.0001
1,0.6854274414359598,,,,,True,max_d_model,33.976426124572754,192,6,8,4,5e-05,0.3,0.0001
2,0.7052023121387283,,,,,True,min_n_layers,29.65455389022827,128,4,8,4,5e-05,0.3,0.0001
3,0.6953529053848494,,,,,True,max_n_layers,47.40048313140869,128,8,8,4,5e-05,0.3,0.0001
4,0.7042515972010952,,,,,True,min_n_heads,37.96822500228882,128,6,4,4,5e-05,0.3,0.0001
5,0.7035670824459994,,,,,True,max_n_heads,38.26343393325806,128,6,8,4,5e-05,0.3,0.0001
6,0.6938697900821417,,,,,False,,16.023229837417603,96,6,8,2,0.0005,0.5,0.001
7,0.6565257073319135,,,,,False,,25.180809020996094,192,7,4,2,0.0005,0.3,0.0001
8,0.7028065104958929,,,,,False,,29.532114028930664,64,7,4,4,0.0005,0.7,0.0001
9,0.6751597201095223,,,,,False,,29.116161108016968,128,7,4,4,0.0001,0.1,1e-05
10,0.7075600851840584,,,,,False,,29.625818014144897,64,7,8,2,0.0005,0.7,1e-05
11,0.6936796470946152,,,,,False,,45.94813323020935,192,8,4,2,0.0001,0.5,0.0001
12,0.6910556738667478,,,,,False,,56.58068895339966,96,8,4,4,1e-05,0.5,0.0
13,0.7043656829936112,,,,,False,,55.20480394363403,64,8,4,4,5e-05,0.7,0.001
14,0.6774034073623365,,,,,False,,29.09311079978943,160,8,8,2,5e-05,0.1,0.0
15,0.7037191968360207,,,,,False,,45.61648368835449,96,6,8,4,1e-05,0.1,0.0
16,0.7043276543961059,,,,,False,,17.484338998794556,96,4,8,4,0.0001,0.5,0.0001
17,0.6820809248554912,,,,,False,,20.280579090118408,160,5,4,2,0.0005,0.3,0.0
18,0.7007909948281108,,,,,False,,28.061981201171875,96,8,4,2,5e-05,0.3,0.0001
19,0.706457255856404,,,,,False,,88.09775280952454,128,7,8,4,1e-05,0.5,1e-05
20,0.7151277760876178,,,,,False,,25.156508207321167,64,4,8,2,0.0005,0.7,1e-05
21,0.7151277760876178,,,,,False,,24.42242193222046,64,4,8,2,0.0005,0.7,1e-05
22,0.7151277760876178,,,,,False,,25.660762071609497,64,4,8,2,0.0005,0.7,1e-05
23,0.7151277760876178,,,,,False,,25.714837074279785,64,4,8,2,0.0005,0.7,1e-05
24,0.7151277760876178,,,,,False,,26.051153898239136,64,4,8,2,0.0005,0.7,1e-05
25,0.7151277760876178,,,,,False,,25.87762475013733,64,4,8,2,0.0005,0.7,1e-05
26,0.7151277760876178,,,,,False,,24.246402978897095,64,4,8,2,0.0005,0.7,1e-05
27,0.7151277760876178,,,,,False,,25.69926619529724,64,4,8,2,0.0005,0.7,1e-05
28,0.7151277760876178,,,,,False,,26.029497861862183,64,4,8,2,0.0005,0.7,1e-05
29,0.7001064800730149,,,,,False,,27.333555221557617,64,5,8,2,0.0005,0.7,1e-05
30,0.7189306358381503,,,,,False,,17.464969873428345,64,4,8,2,0.0005,0.7,0.001
31,0.7189306358381503,,,,,False,,17.345504999160767,64,4,8,2,0.0005,0.7,0.001
32,0.7189306358381503,,,,,False,,17.397845029830933,64,4,8,2,0.0005,0.7,0.001
33,0.7189306358381503,,,,,False,,17.32551598548889,64,4,8,2,0.0005,0.7,0.001
34,0.7001064800730149,,,,,False,,21.454901933670044,128,4,8,2,0.0005,0.7,0.001
35,0.7080544569516276,,,,,False,,21.72813105583191,192,4,8,2,0.0005,0.7,0.001
36,0.7026543961058717,,,,,False,,29.500333070755005,160,6,8,2,0.0005,0.7,0.001
37,0.6885838150289018,,,,,False,,33.90815305709839,64,4,8,2,1e-05,0.7,0.001
38,0.6872528141162154,,,,,False,,20.012490034103394,64,5,8,2,0.0001,0.3,0.001
39,0.6701399452388196,,,,,False,,21.72845196723938,192,6,8,2,0.0005,0.1,0.001
40,0.7115911165196228,,,,,False,,26.46318292617798,64,4,8,2,5e-05,0.7,0.001
41,0.7189306358381503,,,,,False,,17.485783100128174,64,4,8,2,0.0005,0.7,0.001
42,0.7189306358381503,,,,,False,,17.30615782737732,64,4,8,2,0.0005,0.7,0.001
43,0.7189306358381503,,,,,False,,17.305862188339233,64,4,8,2,0.0005,0.7,0.001
44,0.7189306358381503,,,,,False,,17.451033115386963,64,4,8,2,0.0005,0.7,0.001
45,0.7104882871919683,,,,,False,,24.137725830078125,64,7,8,2,0.0005,0.7,0.001
46,0.6980909644052327,,,,,False,,15.878899097442627,128,4,4,2,0.0001,0.3,0.001
47,0.6670976574383936,,,,,False,,16.078824758529663,192,4,8,4,0.0005,0.1,0.001
48,0.7053544265287496,,,,,False,,15.521867036819458,64,4,8,2,0.0005,0.5,0.001
49,0.7069896562214786,,,,,False,,43.366875886917114,64,6,4,2,5e-05,0.7,0.001
