timestamp,experiment,phase,budget,task,horizon,timescale,script_path,run_type,status,duration_seconds,val_loss,test_accuracy,hyperparameters,error_message,thermal_max_temp,data_md5,d_model,n_layers,n_heads,d_ff,param_count
,train_2M_h1,6A,2M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2M_h1.py,final_training,success,40.01217985153198,0.2370717972517013,,"{""learning_rate"": 0.0008, ""dropout"": 0.12, ""weight_decay"": 0.001, ""warmup_steps"": 100, ""epochs"": 50}",,,,64,48,2,256,
,train_2M_h2,6A,2M,threshold_1pct,2,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2M_h2.py,final_training,success,26.09854102134705,0.5145476460456848,,"{""learning_rate"": 0.0008, ""dropout"": 0.12, ""weight_decay"": 0.001, ""warmup_steps"": 100, ""epochs"": 50}",,,,64,32,2,256,
,train_2M_h3,6A,2M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2M_h3.py,final_training,success,30.656559228897095,0.596688449382782,,"{""learning_rate"": 0.0008, ""dropout"": 0.12, ""weight_decay"": 0.001, ""warmup_steps"": 100, ""epochs"": 50}",,,,64,32,2,256,
,train_2M_h5,6A,2M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2M_h5.py,final_training,success,55.194586753845215,0.64692622423172,,"{""learning_rate"": 0.0008, ""dropout"": 0.12, ""weight_decay"": 0.001, ""warmup_steps"": 100, ""epochs"": 50}",,,,64,64,16,256,
,train_20M_h1,6A,20M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_20M_h1.py,final_training,success,133.29296112060547,0.2430316060781479,,"{""learning_rate"": 0.00055, ""dropout"": 0.2, ""weight_decay"": 0.0008, ""warmup_steps"": 100, ""epochs"": 50}",,,,128,180,16,512,
,train_20M_h2,6A,20M,threshold_1pct,2,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_20M_h2.py,final_training,success,30.07126402854919,0.517042338848114,,"{""learning_rate"": 0.00055, ""dropout"": 0.2, ""weight_decay"": 0.0008, ""warmup_steps"": 100, ""epochs"": 50}",,,,256,32,2,1024,
,train_20M_h3,6A,20M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_20M_h3.py,final_training,success,47.692057847976685,0.5958806872367859,,"{""learning_rate"": 0.00055, ""dropout"": 0.2, ""weight_decay"": 0.0008, ""warmup_steps"": 100, ""epochs"": 50}",,,,256,32,2,1024,
,train_20M_h5,6A,20M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_20M_h5.py,final_training,success,20.31899118423462,0.6328833699226379,,"{""learning_rate"": 0.00055, ""dropout"": 0.2, ""weight_decay"": 0.0008, ""warmup_steps"": 100, ""epochs"": 50}",,,,384,12,4,1536,
,train_200M_h1,6A,200M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_200M_h1.py,final_training,success,128.5053162574768,0.2436313927173614,,"{""learning_rate"": 0.00065, ""dropout"": 0.25, ""weight_decay"": 0.0003, ""warmup_steps"": 200, ""epochs"": 50}",,,,384,96,4,1536,
,train_200M_h2,6A,200M,threshold_1pct,2,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_200M_h2.py,final_training,success,88.64037609100342,0.5151485800743103,,"{""learning_rate"": 0.00065, ""dropout"": 0.25, ""weight_decay"": 0.0003, ""warmup_steps"": 200, ""epochs"": 50}",,,,768,24,16,3072,
,train_200M_h3,6A,200M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_200M_h3.py,final_training,success,125.66056180000304,0.599544107913971,,"{""learning_rate"": 0.00065, ""dropout"": 0.25, ""weight_decay"": 0.0003, ""warmup_steps"": 200, ""epochs"": 50}",,,,768,24,16,3072,
,train_200M_h5,6A,200M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_200M_h5.py,final_training,success,224.2354600429535,0.6305544972419739,,"{""learning_rate"": 0.00065, ""dropout"": 0.25, ""weight_decay"": 0.0003, ""warmup_steps"": 200, ""epochs"": 50}",,,,256,256,16,1024,
,train_2B_h1,6A,2B,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2B_h1.py,final_training,success,1443.8769390583038,0.2316161692142486,,"{""learning_rate"": 0.00025, ""dropout"": 0.22, ""weight_decay"": 0.0005, ""warmup_steps"": 200, ""epochs"": 50}",,,,1024,128,2,4096,
,train_2B_h2,6A,2B,threshold_1pct,2,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2B_h2.py,final_training,success,1012.1147220134736,0.5167425274848938,,"{""learning_rate"": 0.00025, ""dropout"": 0.22, ""weight_decay"": 0.0005, ""warmup_steps"": 200, ""epochs"": 50}",,,,768,256,32,3072,
,train_2B_h3,6A,2B,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2B_h3.py,final_training,success,987.2477219104768,0.5807437300682068,,"{""learning_rate"": 0.00025, ""dropout"": 0.22, ""weight_decay"": 0.0005, ""warmup_steps"": 200, ""epochs"": 50}",,,,768,256,32,3072,
,train_2B_h5,6A,2B,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a_final/train_2B_h5.py,final_training,success,1710.6472480297089,0.7147713303565979,,"{""learning_rate"": 0.00025, ""dropout"": 0.22, ""weight_decay"": 0.0005, ""warmup_steps"": 200, ""epochs"": 50}",,,,1024,180,4,4096,
