trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7093854578643141,,,,,True,min_d_model,28.906840085983276,32,4,8,4,5e-05,0.3,0.0001
1,0.706343170063888,,,,,True,max_d_model,17.797343015670776,96,4,8,4,5e-05,0.3,0.0001
2,0.7148235473075752,,,,,True,min_n_layers,14.048894882202148,64,2,8,4,5e-05,0.3,0.0001
3,0.7100699726194097,,,,,True,max_n_layers,25.19067883491516,64,6,8,4,5e-05,0.3,0.0001
4,0.6971022208700943,,,,,True,min_n_heads,20.760798931121826,64,4,2,4,5e-05,0.3,0.0001
5,0.6960754487374505,,,,,True,max_n_heads,20.645412921905518,64,4,8,4,5e-05,0.3,0.0001
6,0.7058487982963189,,,,,False,,16.73030710220337,48,4,4,2,0.0001,0.3,0.0001
7,0.7013614237906907,,,,,False,,29.236010789871216,80,4,4,4,5e-05,0.5,0.0
8,0.7060009126863402,,,,,False,,37.61398696899414,48,5,4,2,1e-05,0.1,0.001
9,0.6822330392455126,,,,,False,,33.977819204330444,32,4,4,2,1e-05,0.3,0.0
10,0.6799893519926985,,,,,False,,10.913855075836182,96,4,2,2,0.0005,0.1,0.001
11,0.7166869485853363,,,,,False,,22.38906693458557,96,2,4,4,1e-05,0.1,1e-05
12,0.6990416793428659,,,,,False,,20.111767053604126,80,5,8,4,5e-05,0.3,1e-05
13,0.6942120474596898,,,,,False,,22.888675212860107,80,5,2,4,0.0005,0.7,0.0001
14,0.7100319440219045,,,,,False,,11.25049114227295,80,2,2,4,5e-05,0.1,0.0001
15,0.6829555825981137,,,,,False,,11.53556776046753,96,2,8,2,0.0005,0.5,1e-05
16,0.7064952844539094,,,,,False,,25.231008052825928,80,3,2,4,0.0001,0.7,0.001
17,0.705506540918771,,,,,False,,23.152822017669678,48,5,4,2,5e-05,0.1,1e-05
18,0.6914739884393063,,,,,False,,34.277429819107056,32,4,8,2,5e-05,0.7,0.0001
19,0.6475889869181625,,,,,False,,34.10205912590027,32,4,2,2,1e-05,0.7,0.0001
20,0.7150136902951019,,,,,False,,45.942781925201416,64,6,4,4,1e-05,0.1,1e-05
21,0.7150136902951019,,,,,False,,44.25135517120361,64,6,4,4,1e-05,0.1,1e-05
22,0.7150136902951019,,,,,False,,45.9989960193634,64,6,4,4,1e-05,0.1,1e-05
23,0.7150136902951019,,,,,False,,45.6855628490448,64,6,4,4,1e-05,0.1,1e-05
24,0.7150136902951019,,,,,False,,45.56240773200989,64,6,4,4,1e-05,0.1,1e-05
25,0.7150136902951019,,,,,False,,45.32595419883728,64,6,4,4,1e-05,0.1,1e-05
26,0.7166869485853363,,,,,False,,22.7157301902771,96,2,4,4,1e-05,0.1,1e-05
27,0.7166869485853363,,,,,False,,22.416712045669556,96,2,4,4,1e-05,0.1,1e-05
28,0.7079023425616064,,,,,False,,26.327059984207153,96,2,4,4,1e-05,0.5,1e-05
29,0.7000304228780042,,,,,False,,7.1136698722839355,96,2,4,4,0.0001,0.1,0.0
30,0.7172573775479159,,,,,False,,26.1792950630188,96,2,8,4,1e-05,0.1,1e-05
31,0.7172573775479159,,,,,False,,26.953701972961426,96,2,8,4,1e-05,0.1,1e-05
32,0.7172573775479159,,,,,False,,27.036912202835083,96,2,8,4,1e-05,0.1,1e-05
33,0.7172573775479159,,,,,False,,27.93751883506775,96,2,8,4,1e-05,0.1,1e-05
34,0.7172573775479159,,,,,False,,27.67244791984558,96,2,8,4,1e-05,0.1,1e-05
35,0.7172573775479159,,,,,False,,26.094278812408447,96,2,8,4,1e-05,0.1,1e-05
36,0.7044417401886218,,,,,False,,12.806427001953125,96,3,8,4,0.0001,0.3,1e-05
37,0.7172573775479159,,,,,False,,28.52113389968872,96,2,8,4,1e-05,0.1,1e-05
38,0.7077882567690905,,,,,False,,27.84906315803528,96,2,8,4,1e-05,0.5,0.0
39,0.6757681776696075,,,,,False,,10.152514934539795,48,2,8,4,0.0005,0.3,0.001
40,0.7171813203529054,,,,,False,,27.792933225631714,96,2,8,4,1e-05,0.1,0.0
41,0.7172573775479159,,,,,False,,27.76867914199829,96,2,8,4,1e-05,0.1,1e-05
42,0.7172573775479159,,,,,False,,27.529000997543335,96,2,8,4,1e-05,0.1,1e-05
43,0.7172573775479159,,,,,False,,25.545489072799683,96,2,8,4,1e-05,0.1,1e-05
44,0.7172573775479159,,,,,False,,25.10873007774353,96,2,8,4,1e-05,0.1,1e-05
45,0.7083586857316702,,,,,False,,31.144888162612915,96,3,8,4,1e-05,0.1,0.001
46,0.7027304533008822,,,,,False,,7.7209389209747314,96,2,8,4,0.0001,0.3,1e-05
47,0.7083206571341649,,,,,False,,10.040454864501953,48,2,8,2,0.0005,0.5,1e-05
48,0.6930331609370247,,,,,False,,42.35186195373535,32,5,8,4,1e-05,0.1,1e-05
49,0.7106023729844843,,,,,False,,10.704617023468018,96,2,8,4,5e-05,0.1,0.0001
