epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
0,2e-05,0.8288085167868096,0.6198981626960927,0.7950482964515686,0.536103467253715,0.55941241979599,0.010620997287333012,0.05175584554672241,0.5606974959373474,0.559262752532959,0.0014347434043884277
1,4e-05,0.7056204655714202,0.6462670058706032,0.6997927597590855,0.5237204182718768,0.5041696429252625,0.0013553817989304662,0.006618380546569824,0.5042957067489624,0.5041549205780029,0.00014078617095947266
2,6.000000000000001e-05,0.6954785135754368,0.649812204642892,0.6949050171034676,0.5199229499174464,0.5011082291603088,0.0003733538032975048,0.0018825531005859375,0.501143217086792,0.5011041760444641,3.904104232788086e-05
3,8e-05,0.6940926444112209,0.6525571226736822,0.6938399927956718,0.5172812328013209,0.5004373788833618,0.00014821697550360113,0.0007671713829040527,0.5004512071609497,0.5004357695579529,1.5437602996826172e-05
4,0.0001,0.6936239987088922,0.6531675527379909,0.6934863158634731,0.5140341221794167,0.500214159488678,7.230666233226657e-05,0.000379025936126709,0.5002208948135376,0.5002134442329407,7.450580596923828e-06
5,0.0001,0.6934354801972707,0.6533533688979831,0.6933540190969195,0.5118877270225646,0.5001306533813477,4.4213746150489897e-05,0.00023323297500610352,0.5001345872879028,0.5001301765441895,4.410743713378906e-06
6,0.0001,0.6933474958988658,0.6536419510620676,0.693284945828574,0.5118051733626857,0.5000869631767273,2.9362568966462277e-05,0.00015467405319213867,0.500089704990387,0.5000867247581482,2.9802322387695312e-06
7,0.0001,0.6932897829172904,0.6543186842297574,0.6932465604373387,0.510484314804623,0.5000627636909485,2.122170371876564e-05,0.00011241436004638672,0.5000646710395813,0.5000625848770142,2.086162567138672e-06
8,0.0001,0.6932594750011176,0.6543570502046184,0.6932224120412555,0.5099614749587231,0.500047504901886,1.6089326891233213e-05,8.535385131835938e-05,0.5000489354133606,0.5000473856925964,1.5497207641601562e-06
9,0.0001,0.6932350569649747,0.6543114525479878,0.6932059356144497,0.5085580627407815,0.5000371336936951,1.2591215636348352e-05,6.693601608276367e-05,0.500038206577301,0.5000369548797607,1.2516975402832031e-06
10,0.0001,0.6932201354127181,0.6544962029864562,0.6931939550808498,0.507622454595487,0.5000295639038086,1.0008906428993214e-05,5.322694778442383e-05,0.5000303983688354,0.500029444694519,9.5367431640625e-07
11,0.0001,0.6932072916574645,0.6545433231024066,0.6931853805269513,0.5064667033571822,0.500024139881134,8.200415322789922e-06,4.369020462036133e-05,0.5000248551368713,0.5000240802764893,7.748603820800781e-07
12,0.0001,0.6931972179496497,0.6544783140894476,0.6931789943150112,0.5059713813979086,0.5000201463699341,6.853053037048085e-06,3.653764724731445e-05,0.5000206828117371,0.5000200271606445,6.556510925292969e-07
13,0.0001,0.6931904800105513,0.6546210446506868,0.6931739023753575,0.5056411667583929,0.5000168681144714,5.765088189946255e-06,3.069639205932617e-05,0.5000174045562744,0.5000168681144714,5.364418029785156e-07
14,0.0001,0.69318414675562,0.6542933352820812,0.6931699429239545,0.5056411667583929,0.5000144243240356,4.917855676467298e-06,2.6226043701171875e-05,0.5000147819519043,0.5000143647193909,4.172325134277344e-07
