epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
0,3e-07,0.91572742974549,0.4689831646448407,0.9372615218162537,0.5007705008255365,0.629020094871521,0.014090221375226974,0.07373535633087158,0.62921541929245,0.6289973258972168,0.0002180933952331543
1,6e-07,0.9084374554324568,0.47517515894475293,0.9246338265282767,0.5029168959823885,0.6233941912651062,0.014117528684437275,0.07272130250930786,0.6236940622329712,0.623359203338623,0.00033485889434814453
2,9.000000000000001e-07,0.8957194434969049,0.48465208759621936,0.9059537904603141,0.5100165107319757,0.6148932576179504,0.014090144075453281,0.07324379682540894,0.6153298020362854,0.614842414855957,0.00048738718032836914
3,1.2e-06,0.8801513282876265,0.4979522160917861,0.8818055646760123,0.5176114474408365,0.6035847067832947,0.013898439705371857,0.07405370473861694,0.6041974425315857,0.6035133004188538,0.0006841421127319336
4,1.5e-06,0.8582746810034702,0.5142601913426873,0.8533831664494106,0.524821133736929,0.5897814035415649,0.013450319878757,0.07595735788345337,0.5905582904815674,0.5896909236907959,0.0008673667907714844
5,1.8000000000000001e-06,0.8345777188476763,0.5320412982315113,0.8226278679711478,0.5343423225096312,0.5742027163505554,0.012567032128572464,0.07531249523162842,0.5750647187232971,0.5741022825241089,0.0009624361991882324
6,2.1000000000000002e-06,0.8089578094189627,0.5496014962730196,0.7920556834765843,0.5427627958172813,0.5580177307128906,0.011267979629337788,0.07123667001724243,0.5589094758033752,0.5579138398170471,0.000995635986328125
7,2.4e-06,0.7837485540331456,0.5654286027477345,0.7642117738723755,0.5571821684094661,0.5426279902458191,0.009502637200057507,0.06257742643356323,0.5434977412223816,0.5425266623497009,0.0009710788726806641
8,2.7e-06,0.7596275341092494,0.5781996005066745,0.741036423615047,0.5641717116125482,0.5292922854423523,0.007424469105899334,0.05071753263473511,0.5300295352935791,0.529206395149231,0.0008231401443481445
9,3e-06,0.7401641215148725,0.5879396862515833,0.7236602561814445,0.5680792515134838,0.5189535617828369,0.005310542415827513,0.037418246269226074,0.5195112824440002,0.5188886523246765,0.0006226301193237305
10,3e-06,0.7256521708086917,0.5941508635389262,0.7138808710234505,0.5731425426527244,0.5130012631416321,0.0038961628451943398,0.027760982513427734,0.5134404301643372,0.5129501223564148,0.0004903078079223633
11,3e-06,0.7173477102789962,0.5979413305076489,0.7083064232553754,0.57347275729224,0.509558379650116,0.0029651287477463484,0.02127218246459961,0.5099059343338013,0.5095178484916687,0.00038808584213256836
12,3e-06,0.7121193304396513,0.6008566878593005,0.7047674911362785,0.5760594386351129,0.5073544979095459,0.0023265781346708536,0.016712665557861328,0.5076398849487305,0.5073212385177612,0.0003186464309692383
13,3e-06,0.7084038628820788,0.6032050052372601,0.7023641722542899,0.5775454045129333,0.5058494210243225,0.0018787783337756991,0.013475418090820312,0.5060898065567017,0.5058214664459229,0.0002683401107788086
14,3e-06,0.705742276028583,0.6050466481535614,0.7006492359297616,0.5792515134837645,0.5047706961631775,0.001544454600661993,0.011042654514312744,0.5049759745597839,0.5047467947006226,0.00022917985916137695
15,3e-06,0.7037721626591265,0.6064648190100361,0.6993692176682609,0.5798293891029169,0.503962516784668,0.0012887438060715795,0.009195089340209961,0.5041379332542419,0.50394207239151,0.0001958608627319336
16,3e-06,0.702123296888251,0.607784867363344,0.6983846511159625,0.5805723720418272,0.5033397078514099,0.0010917094768956304,0.007751047611236572,0.5034927129745483,0.5033219456672668,0.00017076730728149414
17,3e-06,0.7009636367622175,0.6089700258209101,0.697608871119363,0.58189323059989,0.5028477311134338,0.0009318538941442966,0.006591379642486572,0.5029812455177307,0.5028322339057922,0.00014901161193847656
18,3e-06,0.7000360091527303,0.6099754579557635,0.6969837716647557,0.582085855806274,0.5024507641792297,0.0008025721181184053,0.0056542158126831055,0.5025680661201477,0.5024370551109314,0.0001310110092163086
19,3e-06,0.6991222009324191,0.6107797732144596,0.6964747565133231,0.582443588332416,0.5021271109580994,0.000697798328474164,0.0048944950103759766,0.5022308230400085,0.50211501121521,0.00011581182479858398
20,3e-06,0.6984651182827196,0.6115594246321738,0.6960584350994655,0.5824986241056688,0.5018620491027832,0.0006112024420872331,0.0042656660079956055,0.5019545555114746,0.5018512606620789,0.00010329484939575195
21,3e-06,0.6978949355451685,0.612229611224788,0.6957048944064549,0.5830489818381949,0.5016366839408875,0.0005364428507164121,0.003731846809387207,0.5017188787460327,0.5016270875930786,9.179115295410156e-05
22,3e-06,0.6973857257449836,0.6128710233362564,0.6954106262751988,0.5838470005503577,0.5014489889144897,0.0004747642669826746,0.003286421298980713,0.5015228390693665,0.5014403462409973,8.249282836914062e-05
23,3e-06,0.6969657524635917,0.6135710501315406,0.6951571702957153,0.5835443037974684,0.5012872219085693,0.00042089587077498436,0.002898693084716797,0.5013536810874939,0.5012794733047485,7.420778274536133e-05
24,3e-06,0.6965898970762888,0.6142326348289974,0.6949410438537598,0.5849752339020363,0.5011492371559143,0.00037490460090339184,0.0025664567947387695,0.5012094974517822,0.5011422634124756,6.723403930664062e-05
25,3e-06,0.6962839783283702,0.6147167007697554,0.6947533232825143,0.5857457347275729,0.5010292530059814,0.0003349785692989826,0.002284526824951172,0.5010835528373718,0.5010229349136353,6.0617923736572266e-05
