epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
0,2.0000000000000003e-06,0.900913548574113,0.5827437609617071,0.895615645817348,0.44551458447991193,0.6093739867210388,0.015059077180922031,0.0802038311958313,0.6069808602333069,0.6096526980400085,-0.00267183780670166
1,4.000000000000001e-06,0.855081168705957,0.5932309174948845,0.8237894943782261,0.4609796367638965,0.5740976929664612,0.014375178143382072,0.07901769876480103,0.5723831653594971,0.5742974281311035,-0.0019142627716064453
2,6.000000000000001e-06,0.7915013788039225,0.6003341798207152,0.7524744612830025,0.47424325811777657,0.5354853272438049,0.009439118206501007,0.05579584836959839,0.5347161293029785,0.5355749726295471,-0.0008588433265686035
3,8.000000000000001e-06,0.7371326810435245,0.6056063803225178,0.7127670219966343,0.48348926802421577,0.5121377110481262,0.0037756608799099922,0.023734211921691895,0.5119457244873047,0.5121600031852722,-0.0002142786979675293
4,1e-05,0.7114134504084002,0.6079244768829777,0.7015652401106698,0.48486516235553107,0.5052610635757446,0.0016377626452594995,0.010425448417663574,0.5051923990249634,0.5052691102027893,-7.671117782592773e-05
5,1e-05,0.7031174819720419,0.6093380803614927,0.698028428213937,0.4854705558613099,0.5030608773231506,0.0009291995665989816,0.005893826484680176,0.5030261874198914,0.5030649900436401,-3.88026237487793e-05
6,1e-05,0.6996614086000543,0.6100912409870408,0.6963739991188049,0.48525041276829944,0.502026379108429,0.0006011914811097085,0.0037946701049804688,0.5020047426223755,0.5020290017127991,-2.4259090423583984e-05
7,1e-05,0.6978516427048466,0.6105032184790022,0.6954514895166669,0.4858282883874518,0.5014480948448181,0.0004203131247777492,0.0026377439498901367,0.5014326572418213,0.5014498829841614,-1.722574234008789e-05
8,1e-05,0.6966872105472967,0.6109269950306928,0.6948777522359576,0.48423225096312605,0.5010881423950195,0.00030966370832175016,0.0019303560256958008,0.5010768175125122,0.5010893940925598,-1.2576580047607422e-05
9,1e-05,0.6959359138681177,0.6113883763275846,0.6944941622870309,0.48497523390203634,0.5008472800254822,0.0002373468450969085,0.001468360424041748,0.5008389949798584,0.5008481740951538,-9.179115295410156e-06
10,1e-05,0.6953895212265483,0.6115058340641137,0.6942257114819118,0.4856081452944414,0.5006784796714783,0.00018673550221137702,0.0011475086212158203,0.5006716847419739,0.5006792545318604,-7.569789886474609e-06
11,1e-05,0.6949921804561949,0.6116563291678847,0.6940279262406486,0.48508530544854156,0.5005541443824768,0.0001506907574366778,0.0009262561798095703,0.5005486607551575,0.5005547404289246,-6.079673767089844e-06
12,1e-05,0.6947055777959656,0.6117985268683621,0.6938783356121608,0.4851678591084205,0.5004600882530212,0.00012351047189440578,0.0007588863372802734,0.5004556775093079,0.5004605650901794,-4.887580871582031e-06
